timestamp,event,player,color,points,total_score_p1,total_score_p2,round
2026-03-24T07:39:38.899867,start,,,0,0,0,1
2026-03-24T07:39:40.161430,stop,,,0,0,0,1
2026-03-24T07:39:41.926351,start,,,0,0,0,1
2026-03-24T07:39:43.856866,manual_plus,1,,1,1,0,1
2026-03-24T07:39:55.507358,manual_plus,2,,1,1,1,1
2026-03-24T07:39:56.864225,manual_plus,2,,1,1,2,1
2026-03-24T07:39:57.698073,manual_plus,2,,1,1,3,1
2026-03-24T07:43:05.610323,reset,,,0,0,0,1
2026-03-24T07:43:08.519542,reset,,,0,0,0,1
2026-03-24T07:43:17.105571,reset,,,0,0,0,1
2026-03-24T07:43:17.326659,reset,,,0,0,0,1
2026-03-24T07:43:18.523486,export_snapshot,,,0,0,0,1
2026-03-24T07:50:06.684170,manual_plus,1,,1,1,0,1
2026-03-24T07:50:07.057910,manual_plus,1,,1,2,0,1
2026-03-24T07:50:08.996227,manual_plus,1,,1,3,0,1
2026-03-24T07:50:09.999394,manual_plus,1,,1,4,0,1
2026-03-24T07:50:10.932931,manual_plus,1,,1,5,0,1
2026-03-24T07:50:12.056556,manual_plus,2,,1,5,1,1
2026-03-24T07:50:12.791528,manual_plus,2,,1,5,2,1
2026-03-24T07:50:13.685024,manual_plus,2,,1,5,3,1
2026-03-24T07:50:14.723278,manual_plus,2,,1,5,4,1
2026-03-24T07:50:15.705419,manual_plus,2,,1,5,5,1
2026-03-24T07:50:16.523044,manual_plus,2,,1,5,6,1
2026-03-24T07:50:17.167971,manual_plus,2,,1,5,7,1
2026-03-24T07:50:17.812945,manual_plus,2,,1,5,8,1
2026-03-24T07:50:19.626037,round_end,,,0,5,8,2
2026-03-24T07:50:21.459478,round_end,,,0,5,8,3
2026-03-24T07:50:24.833150,manual_plus,1,,1,6,8,3
2026-03-24T07:50:27.013648,manual_plus,2,,1,6,9,3
2026-03-24T07:50:27.220224,manual_plus,2,,1,6,10,3
2026-03-24T07:50:27.590912,manual_plus,2,,1,6,11,3
2026-03-24T07:50:27.965735,manual_plus,2,,1,6,12,3
2026-03-24T07:50:28.331172,manual_plus,2,,1,6,13,3
2026-03-24T07:50:30.979521,round_end,,,0,6,13,4
2026-03-24T07:54:55.699517,manual_plus,1,,1,1,0,1
2026-03-24T07:55:21.583245,start,,,0,1,0,1
2026-03-24T07:55:26.127169,reset,,,0,0,0,1
2026-03-24T08:01:01.366799,start,,,0,0,0,1
2026-03-24T08:02:09.061991,manual_plus,1,,1,1,0,1
2026-03-24T08:02:10.374786,manual_plus,1,,1,2,0,1
2026-03-24T08:02:23.031716,manual_plus,2,,1,2,1,1
2026-03-24T08:02:24.890015,round_end,,,0,2,1,2
2026-03-24T08:04:49.000704,manual_plus,1,,1,3,1,2
2026-03-24T08:04:49.345676,manual_plus,1,,1,4,1,2
2026-03-24T08:04:49.742565,manual_plus,1,,1,5,1,2
2026-03-24T08:04:53.139528,manual_plus,2,,1,5,2,2
2026-03-24T08:04:54.924501,round_end,,,0,5,2,3
2026-03-24T08:04:57.673290,round_end,,,0,5,2,4
2026-03-24T08:04:58.266153,round_end,,,0,5,2,5
2026-03-24T08:04:58.892977,round_end,,,0,5,2,6
2026-03-24T08:04:59.018352,round_end,,,0,5,2,7
2026-03-24T08:04:59.139392,round_end,,,0,5,2,8
2026-03-24T08:04:59.260324,round_end,,,0,5,2,9
2026-03-24T08:04:59.386560,round_end,,,0,5,2,10
2026-03-24T08:04:59.510683,round_end,,,0,5,2,11
2026-03-24T08:04:59.630653,round_end,,,0,5,2,12
2026-03-24T08:45:03.241503,start,,,0,0,0,1
2026-03-24T08:45:16.641287,manual_plus,1,,1,1,0,1
2026-03-24T08:45:16.907040,manual_plus,1,,1,2,0,1
2026-03-24T08:45:17.276438,manual_plus,1,,1,3,0,1
2026-03-24T08:45:18.825970,manual_plus,2,,1,3,1,1
2026-03-24T08:45:22.276218,round_end,,,0,3,1,2
2026-03-24T08:45:28.502419,round_end,,,0,3,1,3
2026-03-24T08:45:35.374180,manual_plus,1,,1,4,1,3
2026-03-24T08:45:35.634501,manual_plus,1,,1,5,1,3
2026-03-24T08:45:38.060207,manual_plus,2,,1,5,2,3
2026-03-24T08:45:38.319855,manual_plus,2,,1,5,3,3
2026-03-24T08:45:39.963247,round_end,,,0,5,3,4
2026-03-24T08:45:41.062763,round_end,,,0,5,3,5
2026-03-24T08:45:41.179258,round_end,,,0,5,3,6
2026-03-24T08:45:41.427701,round_end,,,0,5,3,7
2026-03-24T08:45:41.539517,round_end,,,0,5,3,8
2026-03-24T08:45:41.668117,round_end,,,0,5,3,9
2026-03-24T08:46:30.261448,reset,,,0,0,0,1
2026-03-24T08:59:42.369467,manual_plus,1,,1,1,0,1
2026-03-24T08:59:42.930931,manual_plus,1,,1,2,0,1
